
PARALLEL MONTE CARLO RESULTS
--------------------------------------------------------------------------------
  #  Parameters                                           Sharpe     PF     DD%  Trades   Return
--------------------------------------------------------------------------------
201  bb_period=25, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
202  bb_period=25, bb_std=2.8, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
203  bb_period=25, bb_std=2.8, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
204  bb_period=25, bb_std=2.8, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
205  bb_period=25, bb_std=2.8, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
206  bb_period=25, bb_std=2.8, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
207  bb_period=25, bb_std=2.8, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
208  bb_period=25, bb_std=2.8, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
209  bb_period=25, bb_std=2.8, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
210  bb_period=25, bb_std=2.8, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
211  bb_period=25, bb_std=2.8, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
212  bb_period=30, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
213  bb_period=30, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
214  bb_period=30, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
215  bb_period=30, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
216  bb_period=30, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
217  bb_period=30, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
218  bb_period=30, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
219  bb_period=30, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
220  bb_period=30, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
221  bb_period=30, bb_std=2.2, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
222  bb_period=30, bb_std=2.2, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
223  bb_period=30, bb_std=2.2, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
224  bb_period=30, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
225  bb_period=30, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
226  bb_period=30, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
227  bb_period=30, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
228  bb_period=30, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
229  bb_period=30, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
230  bb_period=30, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
231  bb_period=30, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
232  bb_period=30, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
233  bb_period=30, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
234  bb_period=30, bb_std=2.3, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
235  bb_period=30, bb_std=2.3, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
236  bb_period=30, bb_std=2.3, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
237  bb_period=30, bb_std=2.3, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
238  bb_period=30, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
239  bb_period=30, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
240  bb_period=30, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
241  bb_period=30, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
242  bb_period=30, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
243  bb_period=30, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
244  bb_period=30, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
245  bb_period=30, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
246  bb_period=30, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
